movie_title,movie_info,critics_consensus,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
Notorious,"""Notorious"" centers on the life of murdered rapper Notorious B.I.G, from his beginnings as a Brooklyn crack dealer to East Coast hip-hop sensation.","A biopic that lacks the luster of its subject, Notorious is generic rise-and-fall fare that still functions as a primer for those less familiar with the work and life of the hip hop icon.",R,"Drama, Musical & Performing Arts",George Tillman Jr.,"Reggie Rock Bythewood, Cheo Hodari Coker","Jamal Woolard, Angela Bassett, Derek Luke, Antonique Smith, Anthony Mackie, Naturi Naughton, Kevin Phillips, Julia Pace Mitchell, Sean Ringgold, Marc John Jefferies, Edwin Freeman, Aunjanue Ellis, John Ventimiglia, Charles Malik Whitfield, Christopher Jordan Wallace, Dennis L.A. White",2009-01-16,2009-04-21,123,Fox Searchlight Pictures,Rotten,51,144,65,97038
Soul Men,"In 1965, Marcus Hooks (John Legend), Floyd Henderson (Bernie Mac), and Louis Hinds (Samuel L. Jackson) were just three kids singing doo-wop harmonies around a fire barrel when legendary record producer Willie Mitchell caught an earful of their infectious harmonizing. Two short years later, Marcus Hooks and the Real Deal had signed to Hi Records, and they quickly became one of the most popular soul acts in America. But success can't last forever, and it wasn't long before Hooks decided to strike out on his own. Though Floyd and Lewis did their best to keep the Real Deal going, scoring one breakout hit with ""Walk in the Park,"" clashing egos and ""creative differences"" would eventually break the duo apart. Flash-forward to the new millennium, when Hooks has won a staggering total of 19 Grammy awards while Floyd and Lewis languish in obscurity. Then, one day, while considering suicide with a mouthful of pills and a bottle of liquor, Floyd is shocked to see a news report that Hooks has suddenly dropped dead just before he was slated to be inducted into the Rock and Roll Hall of Fame. In order to celebrate Hooks' career, Hi Records has organized a lavish tribute concert at the Apollo Theater. Will Floyd and Lewis be able to put aside their differences long enough to drive cross-country and perform together on-stage one last time, or will lingering grudges ultimately cause the pair's already-tenuous relationship to implode long before they reach New York City?","Soul Men features lively performances from Bernie Mac and Samuel L. Jackson and some hilarious moments, but ultimately suffers from an unoriginal script.",R,"Comedy, Musical & Performing Arts",Malcolm D. Lee,"Matthew Stone, Robert Ramsey","Samuel L. Jackson, Bernie Mac, Sharon Leal, Adam Herschman, Sean Hayes, Affion Crockett, Jennifer Coolidge, John Legend, Isaac Hayes, Fatso-Fasano, Jackie Long",2008-11-07,2009-02-10,100,MGM,Rotten,45,97,58,54252
Igor,"In a land of mad scientists and diabolical inventions, what do you do when youre born with a hunch on your back? You become an Igor. A twist on the classic monster movie, that tells the story of one Igor--who's sick of being a lowly lab assistant with a ""Yes Master's"" degree--and dreams of becoming a scientist. When his cruel master kicks the bucket a week before the annual Evil Science Fair, Igor finally gets his chance. With the help of two of his experimental creations--Brain, a brain in a jar who's a little light on brains, and Scamper, a cynical bunny brought back from being road kill, Igor embarks on building the most evil invention of all time, a huge, ferocious monster. Unfortunately, instead of turning out evil, the monster turns out as Eva, a giant aspiring actress who wouldn't hurt a fly. Just when the load on his back can't get any heavier, Igor and his band of monstrous misfits uncover an evil plot that threatens their world. Now, they must fight to save it and prove that heroes come in all shapes and sizes.","With an animation style that apes Tim Burton, and a slew of cultural references that aren't clear enough to reach the crowds, Igor's patched together antics make it hard to see who the film is trying to please.",PG,"Animation, Comedy, Kids & Family","Anthony Leondis, Tony Leondis",Chris McKenna (II),"John Cusack, Steve Buscemi, John Cleese, Jennifer Coolidge, Arsenio Hall, Sean Hayes, Eddie Izzard, Jay Leno, Molly Shannon, Christian Slater, James Lipton, Robin Howard, Matt McKenna, Daniel Hustwayte, Myleene Klass, James Shearman",2008-09-19,2009-01-20,86,MGM,Rotten,38,92,38,82490
The Matador,"This heroic tale chronicles David Fandila's quest to become the world's top-ranked bullfighter. Heart-wrenching setbacks and thrilling successes dramatize ""El Fandi's"" three-year journey across Spain and Latin America and into the pages of bullfighting history. It is a story of love--of a son for his family, of audiences for their heroes, of a people for their cultural traditions, and of the bullfighter's paradoxical love for the majestic beast that he must kill to create his art. As David struggles to achieve his place in the pantheon of Spain's greatest bullfighters, he is confronted by those who question the place of this ancient and brutal ritual in the modern world.",,NR,"Documentary, Special Interest","Stephen Higgins, Nina Gilden Seavey",,David Fandila,2008-03-10,2009-02-17,74,City Lights Pictures,Fresh,73,15,65,205
The Auteur,"As an eight-year-old boy in a small Italian village, Arturo Domingo found copies of both Cahiers du Cinéma and Hustler under his parents' bed, and it was then that his future as the ""Kubrick of porno"" took root. Now mid-career, after a number of highly acclaimed films (like My Left Nut), he finds himself in a bit of a slump. His work has slipped since he parted ways with his longtime collaborator and star, Frank Normo, now the host of a wildly successful sex/travel reality show. Domingo also finds himself attending a retrospective of his work in Portland, Oregon and thinking obsessively about the lost love of his life so much that he can't concentrate on his real mission: to finally screen the controversial director's cut of his epic Vietnam-era flick, Full Metal Jackoff.",,NR,Comedy,James Westby,James Westby,"Melik Malkasian, John Breen, Katherine Flynn, Cara Seymour, Victor Morris, Michael Fetters, Katie O'Grady, Ritah Parrish, Casey McFeron, Ron Jeremy",2008-01-01,2009-12-22,76,FilmBuff,Fresh,67,6,41,266
The Caller,"When a whistle-blowing executive at an international energy firm prepares to expose his company's corrupt practices in Latin America, he secretly hires a private detective to track his every move for fear that he will be killed for his bold transgression. Jimmy Stevens (Frank Langella) has had enough of the lies and deception, and now he's going to something about it. He also knows that chances are good he'll pay the ultimate price for doing what he's about to do, so as a form of insurance Jimmy hires private detective Frank Turlotte (Elliott Gould) to keep a close tab on him. But Frank doesn't realize that the man who hired him and the man he was told to trail are one in the same, and as the paths of the two men begin to intertwine, the secrets of the past offer clues to the mysteries of the future. Mulholland Drive star Laura Harring co-stars in a twisting neo-noir thriller from A Hole in One director Richard Ledes.",,PG-13,"Drama, Mystery & Suspense",Richard Ledes,"Richard Ledes, Alain-Didier Weill","Elliott Gould, Frank Langella, Laura Harring, Anabel Sosa, Axel Feldman, Edoardo Ballerini, Chandler Williams, Axel Feldmann, Helen Stenborg, Grégory Ellis, Corey Johnson, Robert Bagnell, David Ballog, Jean Brassard, Julia Carothers Hughes, Maria-Jose Davo, Kyle Emelander, Laura Holloway, Edward James Hyland, Julie Jones Ivey, Devin Luke, Charles Nordeen",2008-09-26,2009-04-14,95,Virgil Films & Entertainment,Rotten,13,16,19,334
Sin Nombre,"Sayra, a teenager living in Honduras, hungers for a brighter future. A reunion with her long-estranged father gives Sayra her only real option--emigrating with her father and her uncle into Mexico and then the United States, where her father now has a new family. Meanwhile, Casper, is a teenager living in Tapachula, Mexico. A member of the Mara Salvatrucha gang brotherhood, he has just brought to the Mara a new recruit, 12-year-old Smiley. While Smiley quickly takes to gang life, Casper tries to protect his relationship with girlfriend Martha Marlene, keeping their love a secret from the Mara. But when Martha encounters Tapachula's Mara leader Lil' Mago, she is brutally taken from Casper forever. Sayra and her relatives manage to cross over into Mexico and join other immigrants waiting at the Tapachula train yards. When a States-bound freight train arrives one night, they successfully rush to board--riding atop it, rather than in the cars--as does Lil' Mago, who has commandeered Casper and Smiley along to rob immigrants. When day breaks, Lil' Mago makes his move and Casper in turn makes a fateful decision. Casper must now navigate the psychological gauntlet of his violent existence and the physical one of the unforgiving Mara, but Sayra bravely allies herself with him as the train journeys through the Mexican countryside towards the hope of new lives.","Part harrowing immigration tale, part gangster story, this debut by writer/director Cary Fukunaga is sensitive, insightful and deeply authentic.",R,"Drama, Mystery & Suspense",Cary Joji Fukunaga,Cary Joji Fukunaga,"Paulina Gaitan, Edgar Flores, Kristyan Ferrer, Diana García, Jesus Lira, Emir Meza, Felipe Castro, Tenoch Huerta Mejía, Héctor Jiménez, Luis Fernando Pena, Kristian Ferrer",2009-03-20,2009-09-01,96,Focus Features,Certified Fresh,88,119,89,21278
Das Haus der Schlafenden Schönen (House of the Sleeping Beauties),"Director Vadim Glowna explores such complicated issues as loneliness, guilt, remembrance, mourning, sex, death, and dying in this adaptation of Yasunari Kawabata's novel concerning a most unusual bordello catering to a most unlikely clientele. Edmond is a lonely man in his late sixties. On the advice of his older friend Kogi, Edmond visits a bordello that allows elderly men the rare opportunity to lie down beside beautiful, youthful women. The girls are narcotized before each session, ensuring that they never awaken to actually meet the clients. Presiding over this mysterious establishment is the 60-year-old Madame, a woman who assumes the caring role of mother to both the girls and the men who come to be with them. Each time Edmond lies down next to one of the girls, memories of his previous life come flooding back. Edmond wants nothing more than to disappear silently into death while basking in the glorious perfection of youth. One night, by chance, Edmond observes Madame and her helpers disposing of a corpse. But while Edmond becomes morally conflicted about what he has seen, he cannot stop himself from returning to the bordello. When Edmond begins questioning Madame about the incident, the mystery only seems to deepen.",,NR,"Art House & International, Drama",Vadim Glowna,"Vadim Glowna, Yasunari Kawabata","Angela Winkler, Maximilian Schell, Birol Ünel, Mona Glass, Vadim Glowna, Marina Weiss, Benjamin Cabuk, Peter Luppa, Jacqueline Le Saunier, Maria Burghard, Babet Mader, Linda Elsner, Sarah Swenshon, Isabelle Wackers",2008-11-14,2009-04-21,99,First Run Features,Rotten,28,18,18,172
The Stone Angel,"Director Kari Skogland takes the reins for a Buffalo Gals Pictures production starring Academy Award winner Ellen Burstyn as author Margaret Laurence's much-lauded heroine Hagar Shipley. Hagar may by 90, but she not ready to lie down and die just yet. Her decisions stem straight from her heart, and that often alienates her family and friends. When Hagar's son, Marvin (Dylan Baker), takes his mother to look at a nursing home, she takes it as her cue to leave her family behind and set out on one great last journey. Her mission is to locate the seaside home she remembers from her youth, but Hagar's memory is quickly fading, making it difficult for her to distinguish the past from the present. As a young girl, Hagar was set to inherit her father's mercantile empire until she was disowned for marrying a bold young man named Bram Shipley (Cole Hauser). Later, when Hagar's romantic illusions fade and she begins to view her husband with contempt, her decision to deny her children the kind of parental approval that she so badly longed for from her own father provokes a deep hereditary flaw. As she makes her way toward the seashore, Hagar realizes her time is running far too short to make up for a lifetime of unacknowledged mistakes.","Despite fine performances from Ellen Burstyn and newcomer Christine Horne, The Stone Angel fails to escape formulaic melodrama territory.",R,Drama,Kari Skogland,Kari Skogland,"Ellen Burstyn, Ellen Page, Kevin Zegers, Dylan Baker, Christine Horne, Sheila McCarthy, Cole Hauser, Peter MacNeill, Samantha Weinstein, Aaron Ashmore, Luke Kirby, Janet-Laine Green, Doreen Brownstone, Ryland Thiessen, Mackenzie Munro, Connor Price, Jordan Todosey, Ardith Boxall, Arne MacPherson, Ted Atherton, R. Morgan Slade, Hilary Carroll, Olie Alto, Joyce Krenz, Jessica Burleson, Evelyne Anderson, Sarah Constible, Alicia Johnston, Chris Sigurdson, Blake Taylor, Jason Spevack, David Gillies, Noah Meade, Landon Norris, Trevor Chief, Cody Carver, Jean Paul Thomas, Devon Bostick, Josette Halpert, Wayne Nicklas, Christopher Read, Nada Abdel Shahid, Frank Adamson, Wings Hauser, Akalu Meekis, Peter Jordan, Ross McMillan, Sharon Bajer, Marcia Bennett, Leslie Stanwyck, Eric Rigler, Cameron Stone, Daniel Koulack, Dave Lawton, Daniel Roy, William Bonness, Richard Moody, Greg Lowe, William Spornitz",2007-09-12,2008-10-21,115,Vivendi Entertainment,Rotten,44,25,58,3025
Alvin and the Chipmunks: The Squeakquel,"""Alvin and The Chipmunks: The Squeakquel"" brings back our favorite furry brothers, Alvin, Simon and Theodore. Because of a freak accident involving Alvin and Dave Seville, they go to live with Dave Seville's cool cousin Toby and must enroll in school just like every other kid. School presents new challenges to these rock stars, like dealing with peer pressure, school sports and of course, girls! By ""girls"" we mean the Chipettes who are managed by Ian Hawke, the Chipmunks greedy former manager who wants to turn them into the next big thing. At the outset, there is a rivalry between the Chipettes and The Chipmunks but in the end they realize that they make great friends and a great musical team!","This Squeakquel may entertain the kiddies, but it's low on energy and heavily reliant on slapstick humor.",PG,"Animation, Comedy, Kids & Family",Betty Thomas,"Jon Vitti, Jonathan Aibel, Glenn Berger, Ross Bagdasarian Sr., Janice Karman","Justin Long, Matthew Gray Gubler, Jesse McCartney, Amy Poehler, Anna Faris, Christina Applegate, Eric Bauza, Sean Astin, Zachary Levi, David Cross, Jason Lee, Wendy Malick, Wendie Malick, Anjelah Johnson-Reyes, Kathryn Joosten, Kevin G. Schmidt, Chris Warren Jr., Bridgit Mendler, Aimee Carrero, Alexandra Shipp, Gregg Binkley, Charice Pempengco, Bernard White, Adele Jacques, Joy Osmanski, Archie Hahn III, Lanny Joon, Brando Eaton, Michael Bruno, Andrew Lee, Alexander Noyes, Jason Rosen, Ali Mikles, Marty Dew, Richard Jackson, Mihran Kirakosian, Janelle Ginestra, Thomasina Gross, Rachele Brooke Smith, Daniel Ryan Conferido, Ryan Feng, Brian Hirano, Victor Kim, Hokuto Konishi, Dominic Sandoval, Steve Terada",2009-12-23,2010-03-30,88,20th Century Fox,Rotten,20,84,49,368581
Un Conte de Noël (A Christmas Tale),"The devastating reverberations of a profound tragedy echo through generations of a long-suffering French family in this emotional family drama from director Arnaud Desplechin. When Abel and his wife, Junon, started a family, it seemed like the seeds of true happiness had been planted. But while their daughter, Elizabeth, was healthy from the day she was born, things quickly turned dark when her brother Joseph was diagnosed with a rare and deadly genetic condition. Joseph's only hope for survival was a bone marrow transplant, but Abel, Junon, and Elizabeth were all incompatible. In one last, desperate chance to save their son's life, Abel and Junon conceived a third child. But not even little Henri could save his ailing brother's life. Joseph died at the age of seven, and neither his siblings nor his parents have ever found the strength to recover. Years later, family relations have deteriorated beyond the point of repair; the tensions between family matriarch Elizabeth and her cynical brother Henri finally culminating in a violent confrontation in which Elizabeth banishes her alcoholic brother and refuses him further contact with his troubled adolescent nephew, Paul. ~ Jason Buchanan, Rovi","A sharp black comedy about a chaotic family holiday gathering, A Christmas Tale is always involving, thanks to an impressive ensemble cast.",NR,"Art House & International, Comedy, Drama",Arnaud Desplechin,"Arnaud Desplechin, Emmanuel Bourdieu","Catherine Deneuve, Mathieu Amalric, Jean-Paul Roussillon, Anne Consigny, Melvil Poupaud, Emmanuelle Devos, Chiara Mastroianni, Hippolyte Girardot, Laurent Capelluto, Clément Obled, Françoise Bertin, Samir Guesmi, Azize Kabouche, Emile Berling, Thomas Obled",2008-11-14,2009-11-10,150,IFC Films,Certified Fresh,86,132,66,23417
The Rebound,"Catherine Zeta-Jones stars as a fortyish mother of two who must start her life over when her husband wants a divorce. She moves to New York City with her two children and hires a nanny (Justin Bartha), but eventually the younger man proves to be a genuine romantic possibility for the lonely divorcee. Directed by Bart Freundlich. ~ Jason Buchanan, Rovi",,R,"Comedy, Romance",Bart Freundlich,Bart Freundlich,"Catherine Zeta-Jones, Justin Bartha, Megan Byrne, Lisa Paige Robinson, Andrew Cherry, Kelly Gould, Lynn Whitfield, Kate Jennings Grant, Rob Kerkovich, Jake Cherry, Joanna Gleason, Eliza Callahan, John Schneider, Art Garfunkel, Marcel Simoneau, Sam Robards, John Ellison Conlee, Saidah Arrika Ekulona, Tom Riis Farrell, Lisa Gerber, Samantha Ivers, Thomas Middleditch, Steve Park, Alice Playten, Lawrence Stallings, Stephanie Szostak, Elliot Villar, Rehan Yadav, Robert Bizik",2009-02-06,2012-02-07,95,Momentum Picutres,Rotten,41,27,46,31184
Ripple Effect,"Philippe Caland directs and stars in this karmic drama about a hip, new age clothing designer from Lebanon who attempts to engineer redemption after realizing that a mistake from his past may have destroyed his entire future. Amer Atrash (Caland) is a first generation immigrant who's perpetually on the verge of the American Dream. But despite his repeated attempts to achieve financial success, it seems that complications always arise at the eleventh hour that set him directly back to square one. Now, after years of struggling, Amer is set to debut a cutting edge clothing line that could put him on top of the world. When the rug is pulled out from under Amer's feet once again, his efforts to hustle his way through the predicament ultimately amount to naught. Later, when Amer's wife Sherry (Virginia Madsen) admits that she's been feeling neglected and needs time to decide whether it's worth working to save their marriage, the dejected designer tells her a secret that he's never revealed to another living soul. Fifteen years earlier, Amer was involved in an accident that left a man named Phillip Blackman (Forest Whitaker) wheelchair bound. Could it be that all of Amer's current life problems somehow stem back to that one fateful night? Upon hearing Amer's story, Sherry encourages her husband to seek out Phillip and make amends. Later, after locating Phillip's beautiful wife Kitty (Minnie Driver), Amer begs for forgiveness by citing all the bad things that have happened to him since the accident. When Phillip and Amer set out on a journey designed to alter Amer's current state of mind and finally bring him nearer to enlightenment, the lives of both men are profoundly changed in ways that neither could have ever anticipated.",,R,Drama,Philippe Caland,Philippe Caland,"Philippe Caland, Forest Whitaker, Virginia Madsen, Minnie Driver, Kali Rocha, John Billingsley, Jerry Katell, Orlando Seale, Kip Pardue, Joanna Krupa, Zareh Boyadjian, Robin Arcuri, Elena Satine, Robert Belinoff, Sandra Lajer, Charley Mae Caland, Bryan Black, Lisa Udasco, Brian Fox, William Butterworth, Jamie Abrahms, Frank Angiuli, Ken Sylk, Lisa Danielle, Susan Knego, Betsy Clark, Denise Crosby, Melissa Sopousek, Michael T. Weiss, Gwendolyn Bailey, Gerard Guez, Kelli Nordhus, Mohamed Hadid, Diego Brasoli, Michel Nahas",2008-07-11,2008-10-07,82,Monterey Media,Rotten,29,7,,
"1,000 Times Good Night","Rebecca (Juliette Binoche) is one of world's top war photojournalists, capturing dangerous and chilling images in the most dire landscapes, all in an effort to shed light on the real cost of modern war. But she's also a wife and mother, leaving behind a husband and two young daughters every time she travels to a new combat zone. After a near-death experience chronicling the ritual of a female suicide bomber, husband Marcus (Nikolaj Coster-Waldau) levels an ultimatum: give up the dangerous profession or lose the family she counts on being there when she returns from each assignment. Yet the conviction that her photos can make a difference keeps pulling at Rebecca's resolve, making it difficult for her to walk away entirely. With an offer to photograph a refugee camp in Kenya, a place allegedly so safe that daughter Steph (Lauryn Canny) is allowed to join her, Rebecca comes face to face with just how much she risks each time she steps back into the fray. (C) Film Movement","Beautifully filmed and powerfully acted, 1,000 Times Good Night achieves absorbing fact-based drama without overindulging in Hollywood contrivances.",NR,Drama,Erik Poppe,Harald Rosenløw-Eeg,"Juliette Binoche, Nikolaj Coster-Waldau, Lauryn Canny, Chloë Annett, Adrianna Cramer Curtis, Bush Moukarzel, Eve Macklin, Mads Ousdal, Maria Doyle Kennedy, Larry Mullen Jr., Des Nealon, Jonathan Byrne, Najat Azgar, Zoubida Afik, Jameela Shafaq, Omar Elmouden, Caitriona Nimhurchu, Stephen Mullan, Carl Shaaban, Peter Sexton, Denise McCormack, Anna Leah Thorseth Poppe",2014-10-24,2015-02-02,117,Film Movement,Fresh,71,55,65,1881
Harold,"As a young teenager suffering from really early male-pattern baldness, Harold has never had it easy. Despite the efforts of his scattered mother --- and aggravated by his beauty-queen-mean sister - life is a trial for Harold. And, now his teen angst is topping out: He's facing his first day at a new high school in a new town. He's not only going to be the ""new kid,"" but the ""new weird bald kid."" Day one turns out to be even worse than he expected. Right off he comes face- to-face with the school bully, and learns very quickly that the new school's teachers are barely more sympathetic or supportive than his bullying nemesis. Harold's saving grace arrives in the person of Cromer, the subversive school janitor, who knows and cares far more about the students than any teacher or administrator. With a cleverness hidden behind his unassuming janitor's uniform, broom and bucket, Cromer comes to Harold's aid, teaching him how to out maneuver his adversaries, and, ultimately, how to survive that most difficult and dreaded American institution ---High School.",,PG-13,Comedy,T. Sean Shannon,"Greg Fields, T. Sean Shannon","Spencer Breslin, Ally Sheedy, Stella Maeve, Nikki Blonsky, Cuba Gooding Jr., Chris Parnell, Suzanne Shepherd, Colin Quinn, Rachel Dratch, Robert Gorrie, Lou Wagner, Daniel Farcher, Dan Dietz Farcher, Dylan Riley Snyder, Elizabeth Gillies, Angel Sing, Fred Willard, Nicola Peltz, Christina Jackson, Kate Hodge, William Wiggins, Jake Sokoloff, Lorraine Mazzola, Alan Aisenberg, Judy Nazemetz, Samantha Futerman, Nicky Katt, Edward Gelbinovich, Derrick Nelson, Nohman Sakhi, Evan Daves, Jim Downy, Julian Mazzola, Michelle Fields, Jill Weigand, Meredith Ann Bull, Kid Million, Pat Shannon, Sarge Pickman, Wass Stevens, Dave Attell, Judith Knight Young, Joey Blonsky",2008-07-11,2008-09-16,105,Arsenal Pictures,Rotten,31,16,41,792
Push,"Lucky Number Slevin director Paul McGuigan takes the helm for this action thriller concerning a group of telekinetic American ex-patriots who band together in an attempt to take down the clandestine government agency that's genetically transforming normal citizens into powerful psychic warriors. The Division is a shadowy government operation devoted to making humankind the ultimate weapon. Those who accept this transformation have the power to move objects with the mind, see the future before it happens, create new realities, and dispense of their enemies without so much as a single touch; those who are unwilling to participate are immediately terminated. Nick Gant (Chris Evans) is a ""mover,"" a second-generation telekinetic who went into hiding after the Division killed his father more than a decade earlier. He lives a life of anonymity in Hong Kong, a densely populated place where fugitive psychics such as himself are safe as long as they can keep their unique gift secret. Suddenly into Nick's life comes 13-year-old ""watcher"" Cassie Holmes (Dakota Fanning), a clairvoyant who needs his help in tracking down escaped ""pusher"" Kira, who may hold the key to bringing down the Division once and for all. A ""pusher"" is the most powerful kind of psychic due to his or her ability to influence the actions of others by planting thoughts in their minds. Now, as Nick emerges from hiding in order to help Cassie find Kira, the Division's human bloodhounds are hot on their trail. In order to elude the authorities, they'll need to disappear into the seedy underbelly of the city while relying on a team of rogue psychics to help cover their tracks. But Division Agent Henry Carver (Djimon Hounsou) is a powerful pusher who has made it his mission to stop them at all costs, regardless of the collateral damages that may occur in the process. ~ Jason Buchanan, Rovi",The sci-fi thriller Push is visually flashy but hyperkinetic and convoluted.,PG-13,"Mystery & Suspense, Science Fiction & Fantasy",Paul McGuigan,David Bourla,"Chris Evans, Dakota Fanning, Camilla Belle, Djimon Hounsou, Cliff Curtis, Joel Gretsch, Scott Michael Campbell, Colin Ford, Neil Jackson, Ming-Na Wen, Ming-Na Wen, Corey Stoll",2009-02-06,2009-07-07,111,Summit Entertainment,Rotten,23,126,42,2026397
Felon,"A loving husband and father finds his promising future transformed into a waking nightmare when he's convicted of involuntary manslaughter after accidentally killing the burglar who broke into his home in this gritty prison drama starring Stephen Dorff and Val Kilmer. Wade Porter (Dorff) would have done anything to protect his family, and when they were threatened he did what any caring family man would have done. But somehow everything went wrong, and now Wade has been sentenced to spend three years in a maximum-security prison. It's a place where the rules of society have been all but forgotten, and in addition to sharing a cell with a notorious mass murderer (Kilmer), Wade somehow incurs the wrath of the sadistic head prison guard (Harold Perrineau). Now, in order to survive the series of vicious beatings orchestrated for the amusement of the guards, Wade realizes that in order to survive the block and get back to his family he will have to become the toughest felon of them all. But even if Wade does manage to live through this harrowing ordeal, what will be left of that loving family man once he's finally released back into civilized society?","Felon offers a rather hackneyed depiction of prison life, but is held together by a pleasantly complex plot and solid performances from Kilmer and Dorff.",R,"Action & Adventure, Drama, Mystery & Suspense",Ric Roman Waugh,Ric Roman Waugh,"Stephen Dorff, Val Kilmer, Harold Perrineau, Ric Roman Waugh, Sam Shepard, Nick Chinlund, Marisol Nichols, Anne Archer, Nate Parker, Greg Serano, Brittany Perrineau, Johnny Lewis, Larnell Stovall, Chris Browning, Vincent Jay Miller, Shawn Prince",2008-07-17,2008-07-18,102,Sony Pictures Entertainment,Fresh,61,23,82,13882
Scar,"A young woman best remembered as the sole survivor of a small town killing spree returns to her hometown for her niece's high school graduation, only to find that the past isn't as dead as she thought in a psychological horror film directed by Jed Weintrob and starring Angela Bettis. It wasn't too long ago that the young girl managed to turn the tables on a notorious serial killer and emerge as the sole survivor of his murderous rampage, but the memories were too painful and she was forced to relocate soon thereafter. Though years may have passed since those traumatic events, it appears as if the horrors of the past have worked their way into the present when her return home coincides with a string of frighteningly familiar murders.","A nasty, witless and unoriginal entry into the torture porn canon with hopeless acting and a waste of modern 3D technology.",R,"Drama, Horror, Mystery & Suspense",Jed Weintrob,Zack Ford,"Angela Bettis, Kirby Bliss Blanton, Devon Graye, Ben Cotton, Christopher Titus, Al Sapienza, Brittney Wilson, Monika Mar-Lee, Carey Feehan, Tegan Moss, Kristin Kowalski, Brandon Jay McLaren, Bill Baksa, James D. Hopkin",2007-05-20,2006-09-26,78,Unknown,Rotten,0,18,11,688
The Unborn,"Casey Beldon hated her mother for leaving her as a child. But when inexplicable things start to happen, Casey begins to understand why she left. Plagued by merciless dreams and a tortured ghost that haunts her waking hours, she must turn to the only spiritual advisor, Sendak, who can make it stop. With Sendak's help, Casey uncovers the source of a family curse dating back to Nazi Germany--a creature with the ability to inhabit anyone or anything that is getting stronger with each possession. With the curse unleashed, her only chance at survival is to shut a doorway from beyond our world that has been pried open by someone who was never born.",David Goyer's Unborn is a tame genre effort with cheap thrills and scares that border on silliness.,PG-13,"Horror, Mystery & Suspense",David S. Goyer,David S. Goyer,"Odette Annable, Gary Oldman, Cam Gigandet, Meagan Good, Jane Alexander, Idris Elba, Rhys Coiro, Carla Gugino, James Remar, Aiden David",2009-01-09,2009-07-07,88,Rogue Pictures,Rotten,10,118,30,831822
Bitch Slap,"A sex-bomb, a psycho-slut, and a stripper find their attempt to extort a powerful underworld kingpin spiraling out of control in this outrageous homage to the exploitation films of yesteryear. They thought it was a foolproof plan, but these three bad girls are about to see just how bad things can get when the truth comes out, allegiances start to shift, and other desperate criminals attempt to muscle in on the take. Later, the stakes are raised when it's revealed that the entire plan was a setup. With the fate of the world resting in their not-so-delicate hands, these three violent beauties are about to discover that everything they thought they knew about the job is wrong, and that their may be an extraterrestrial invader lurking in their midst. ~ Jason Buchanan, Rovi",,R,Action & Adventure,Rick Jacobson,"Rick Jacobson, Eric Gruendemann","Julia Voth, Erin Cummings, America Olivo, Michael Hurst, Ron Melendez, William Gregory Lee, Minae Noji, Scott Hanley, Kevin Sorbo, Dennis Keiffer, Lucy Lawless, Renée O'Connor, Mark Lutz, Debbie Lee Carrington, Zoe Bell, Robert Mammana, Rich Kirby, Jim Klock, Danny Nero, Christine Nguyen, Krystal Badia, Paul Karami, Astrid Swan, Bianca Barnett, Aisha Cain, Sabine Varnes, Eurlyne Epper, Rick Jacobson, Eric Gruendemann, Brian Peck, Michael Belasco, Karen Austin",2010-01-08,2010-03-02,104,Freestyle Releasing,Rotten,29,17,29,10342
